,index,npi,entity_code,full_zip,state,country,provider_type,medicare_participation_indicator,number_of_hcpcs,number_of_services,total_beneficiaries,total_submitted_charges,total_allowed_payment,total_medicare_payment,total_medicare_standardized_payment,avg_beneficiary_age,avg_hcc_risk_score,medicare_payment_per_person,submitted_charges_per_person,services_per_person,submitted_charges_per_service,medicare_payment_per_service,percentage_rate,region,subregion,total_pop,percent_black,percent_white,percent_native_amer,percent_hispanic,percent_other,percent_asian,percent_two_or_more_races,majority,payrate_level,ypred_rf
9194,414977,1740248814,I,76904,TX,US,Anesthesiology,Y,4,19.0,18,13003.41,12988.26,10117.51,10367.09,69,0.5123,562.08,722.41,1.06,684.39,532.5,0.7780659073273857,South,West South Central,35697.0,0.04748298176317338,0.628035969409194,0.0028293694147967607,0.29117292769700537,0.0006162982883715719,0.015155335182228197,0.014034792839734432,majority_white,very high,low
40098,188296,1902046576,O,80124,CO,US,Radiation Therapy Center,Y,11,2269.0,114,1321772.03,1301640.62,1020198.89,1018270.8,73,0.9824,8949.11,11594.49,19.9,582.54,449.62,0.7718417902972271,West,Mountain,21384.0,0.021043771043771045,0.7703890759446315,0.0006546950991395433,0.07491582491582492,0.007061354283576507,0.09923307145529367,0.0255331088664422,majority_white,very high,low
43149,195768,1083061261,O,33314,FL,US,Clinical Laboratory,Y,19,98.0,20,67523.1,55340.15,54233.31,54233.31,66,1.2291,2711.67,3376.16,4.9,689.01,553.4,0.8031815778600211,South,South Atlantic,26188.0,0.11245608675729342,0.3526424316480831,0.0029402779899190467,0.4586451809989308,0.006949747976172292,0.03841454101115015,0.0220329922101726,no_majority,very high,low
147142,694967,1285926758,I,71103,LA,US,Pathology,Y,16,153.0,34,51434.0,44546.63,43655.41,44185.01,70,2.8392,1283.98,1512.76,4.5,336.17,285.33,0.8487656025197341,South,West South Central,6720.0,0.86875,0.09375,0.0023809523809523807,0.01949404761904762,0.004464285714285714,0.004166666666666668,0.005654761904761905,majority_black,very high,low
152542,917869,1194757310,I,52339,IA,US,Family Practice,Y,3,21.0,17,1172.41,1172.41,900.68,996.32,47,0.9667,52.98,68.97,1.24,55.83,42.89,0.7682295442720549,Midwest,West North Central,4213.0,0.010443864229765013,0.5219558509375741,0.20246854972703532,0.24092095893662474,0.0,0.007595537621647281,0.01661523854735343,majority_white,very high,low
153997,425636,1891162665,O,75057,TX,US,Clinical Laboratory,Y,60,22629.0,2757,17936649.31,16263589.06,15938302.66,15938303.06,71,1.6822,5781.03,6505.86,8.21,792.64,704.33,0.8885886312731841,South,West South Central,14111.0,0.1179930550634257,0.3626249025582879,0.00035433349868896607,0.4597831478988024,0.0,0.022323010417404858,0.03323648217702502,no_majority,very high,low
189029,78264,1194760439,O,43215,OH,US,Clinical Laboratory,Y,10,358.0,90,14268.0,11836.71,11598.68,11598.68,52,1.1803,128.87,158.53,3.98,39.85,32.4,0.8129156153630502,Midwest,East North Central,14440.0,0.12624653739612188,0.7614265927977839,0.0002770083102493075,0.03095567867036011,0.0042936288088642645,0.045637119113573404,0.03116343490304709,majority_white,very high,low
194694,572022,1649345737,I,11771,NY,US,Oral Surgery (Dentist only),Y,9,26.0,20,28229.78,27440.25,21365.73,23267.41,74,1.8036,1068.29,1411.49,1.3,1085.76,821.76,0.7568507441432416,Northeast,Middle Atlantic,9500.0,0.019789473684210527,0.7871578947368421,0.0,0.08863157894736842,0.03557894736842105,0.06010526315789474,0.008736842105263156,majority_white,very high,low
205065,290297,1215003603,O,94063,CA,US,Clinical Laboratory,Y,6,27852.0,27007,125511590.0,100665395.7,98343875.58,98569627.52,71,0.8759999999999999,3641.42,4647.37,1.03,4506.38,3530.94,0.7835441777129905,West,Pacific,34503.0,0.02251978088861838,0.19192533982552248,0.0012462684404254702,0.6724342810770078,0.005129988696635075,0.08010897603106976,0.017447758165956586,majority_hispanic,very high,low
212377,409096,1659866572,O,77025,TX,US,Clinical Laboratory,Y,12,2953.0,365,2761525.58,2381396.4,2333765.86,2333765.86,71,1.6282,6393.88,7565.82,8.09,935.16,790.3,0.8451002144981036,South,West South Central,28955.0,0.11127611811431533,0.5016404766016233,0.001588672077361423,0.17806941806251078,0.002693835261612848,0.17157658435503367,0.03122085995510275,majority_white,very high,low
213602,346069,1821253584,O,92618,CA,US,Clinical Laboratory,Y,2,3107.0,2710,11813100.0,10847881.82,10616892.92,10612731.3,71,0.8808,3917.67,4359.08,1.15,3802.09,3417.09,0.8987389355884569,West,Pacific,43316.0,0.026318219595530518,0.4201911533844307,0.0016622033428756115,0.08052451749930742,0.0055637639671253115,0.4240696278511405,0.04164742820205005,no_majority,very high,low
2166,659618,1235252032,I,48197,MI,US,Vascular Surgery,Y,110,1801.0,909,1052633.3,578115.24,449696.43,435995.41,74,2.4209,494.72,1158.01,1.98,584.47,249.69,0.4272109100101621,Midwest,East North Central,68102.0,0.24621890693371706,0.5846964846847376,0.001013186103198144,0.06120231417579512,0.0034360224369328358,0.0510557692872456,0.05206895539044375,majority_white,high,low
4032,720351,1558583021,I,37421,TN,US,Plastic and Reconstructive Surgery,Y,27,381.0,251,326883.76,240528.26,185276.85,200319.71,75,1.2919,738.15,1302.33,1.52,857.96,486.29,0.5667973532854614,South,East South Central,50927.0,0.1919806782256956,0.6757712019164687,0.0004516268384157716,0.060007461660808614,0.005262434465018557,0.04573212637697096,0.02079447051662183,majority_white,high,low
7610,338062,1730514027,O,93726,CA,US,Ambulatory Surgical Center,Y,16,835.0,299,10548250.0,5760962.57,4515724.58,4288668.06,64,1.3988,15102.76,35278.43,2.79,12632.63,5408.05,0.4281017780200507,West,Pacific,43209.0,0.08343169247147585,0.2670277025619663,0.003610358952995904,0.5204934157235761,0.001018306371357819,0.10895878173528664,0.014858015691175447,majority_hispanic,high,low
13416,800343,1376961193,I,98118,WA,US,Family Practice,Y,7,16.0,12,1040.34,499.26,480.32,480.32,65,1.7153,40.03,86.7,1.33,65.02,30.02,0.4616952150258571,West,Pacific,48436.0,0.2370550829961185,0.30221322982905274,0.002477496077297877,0.07911470806837889,0.0013213312412255348,0.3012841688000661,0.06926666116111982,no_majority,high,low
13605,523641,1023264157,I,10507,NY,US,Interventional Radiology,Y,131,2332.0,865,3200991.71,1811890.53,1418710.85,1200087.03,75,2.781,1640.13,3700.57,2.7,1372.64,608.37,0.4432097857573021,Northeast,Middle Atlantic,7068.0,0.07781550650820597,0.5301358234295416,0.0009903791737408036,0.33305036785512165,0.0,0.0321165817770232,0.025891341256366725,majority_white,high,low
13814,557535,1457787780,O,12533,NY,US,Independent Diagnostic Testing Facility (IDTF),Y,36,11204.0,1215,1671900.03,995533.76,769008.51,652240.35,72,1.3525,632.93,1376.05,9.22,149.22,68.64,0.4599608207435704,Northeast,Middle Atlantic,25406.0,0.0262930016531528,0.8302763126820436,0.0013776273321262696,0.07718649137998898,0.0023222860741557113,0.04140754152562387,0.021136739352908763,majority_white,high,low
17768,1108622,1043280001,I,57078,SD,US,Certified Registered Nurse Anesthetist (CRNA),Y,1,313.0,17,124746.0,74429.19,56565.04,59927.06,59,1.4658,3327.36,7338.0,18.41,398.55,180.72,0.4534417135619579,Midwest,West North Central,19107.0,0.01810854660595593,0.875176636834668,0.03626943005181347,0.044800334955775366,0.0,0.00240749463547391,0.02245250431778929,majority_white,high,low
18152,22584,1952505877,I,20912,MD,US,Cardiology,Y,65,2018.0,401,1131638.95,692168.88,514439.36,454394.08,74,1.9518,1282.89,2822.04,5.03,560.77,254.93,0.4545967245118242,South,South Atlantic,26239.0,0.3694881664697587,0.355501352947902,0.0008765577956477,0.19730172643774527,0.0005716681275963263,0.042836998361218036,0.03342352986013186,no_majority,high,low
19851,303965,1366446312,I,92835,CA,US,Cardiology,Y,16,212.0,35,244815.0,152405.48,118657.2,122059.98,72,0.6963,3390.21,6994.71,6.06,1154.79,559.7,0.4846810857177869,West,Pacific,23867.0,0.01918967612184188,0.4768927808270834,0.0009217748355469897,0.1904303012527758,0.001885448527255206,0.263250513260988,0.04470607952402901,no_majority,high,low
25309,331069,1669409710,I,91706,CA,US,Optometry,Y,6,1828.0,683,2121505.0,1950339.64,1528227.33,1477970.33,74,1.7294,2237.52,3106.16,2.68,1160.56,836.01,0.7203505671681188,West,Pacific,77342.0,0.017920405471800575,0.04028858834785757,0.0016937756975511364,0.7442010809133459,0.001551550257298751,0.18594036875177786,0.0017584236249385847,majority_hispanic,high,low
27099,38997,1336119171,I,60014,IL,US,Anesthesiology,Y,43,1575.0,205,625670.0,354693.82,274435.87,269447.69,74,0.9918,1338.71,3052.05,7.68,397.25,174.24,0.4386271836591174,Midwest,East North Central,48443.0,0.013190760274962328,0.8223066284086452,0.002270709906488037,0.12334083355696385,0.0017133538385318827,0.02367731147947072,0.013211403092294035,majority_white,high,low
27210,295049,1265453724,I,95124,CA,US,Vascular Surgery,Y,69,969.0,381,910240.8,567686.86,434475.57,364249.06,77,3.2009,1140.36,2389.08,2.54,939.36,448.38,0.4773193752686102,West,Pacific,51170.0,0.014754739104944303,0.5635919484072699,0.0004494821184287669,0.16882939222200508,0.0008012507328512801,0.2069767441860465,0.04459644322845417,majority_white,high,low
30098,1023953,1790792984,O,36092,AL,US,Independent Diagnostic Testing Facility (IDTF),Y,2,23.0,20,20330.0,13520.53,10343.46,11265.86,66,0.7008,517.17,1016.5,1.15,883.91,449.72,0.5087781603541564,South,East South Central,19843.0,0.22365569722320214,0.7406138184750289,0.0,0.007357758403467219,0.0061986594768936145,0.004031648440256009,0.018142417981152043,majority_white,high,low
32588,1005912,1740312974,I,85375,AZ,US,Peripheral Vascular Disease,Y,30,1756.0,202,1786453.0,1420379.32,1182359.05,1142634.58,76,1.1973,5853.26,8843.83,8.69,1017.34,673.33,0.6618472750192701,West,Mountain,28759.0,0.014499808755520009,0.956396258562537,0.0025383358253068602,0.009110191592197224,0.0010431517090302169,0.012830766021071664,0.003581487534337077,majority_white,high,low
35448,599262,1992769608,I,10021,NY,US,Orthopedic Surgery,Y,46,1229.0,462,585619.75,467100.19,365782.69,338676.89,72,1.0829,791.74,1267.58,2.66,476.5,297.63,0.6246078449369237,Northeast,Middle Atlantic,46215.0,0.005842259006815969,0.7928810992102131,0.0033755274261603376,0.07928161852212487,0.0010602618197554903,0.09375743806123553,0.022936276100833063,majority_white,high,low
38995,521560,1003012568,I,11042,NY,US,Neurosurgery,Y,14,29.0,12,15621.54,13203.56,10248.08,9598.85,65,1.5962,854.01,1301.8,2.42,538.67,353.38,0.6560223895979526,Northeast,Middle Atlantic,522.0,0.29310344827586204,0.5651340996168582,0.0,0.07088122605363985,0.0,0.05555555555555555,0.01532567049808429,majority_white,high,low
40010,281628,1114361060,I,92868,CA,US,Neurology,Y,5,20.0,16,5645.0,3676.71,2754.44,2777.09,58,1.837,172.15,352.81,1.25,282.25,137.72,0.4879433126660762,West,Pacific,27693.0,0.03769905752356191,0.3044090564402557,0.001516628750947893,0.5021485573971762,0.0,0.13259668508287292,0.019318961470407684,majority_hispanic,high,low
44838,583051,1780769653,I,11021,NY,US,Plastic and Reconstructive Surgery,Y,28,292.0,85,234776.78,139321.02,108108.87,82866.15,69,0.8512,1271.87,2762.08,3.44,804.03,370.24,0.4604751372772043,Northeast,Middle Atlantic,18185.0,0.021831179543579875,0.687654660434424,0.002694528457519934,0.0638988177069013,0.004564201264778664,0.2061039318119329,0.013252680780863349,majority_white,high,low
53357,536142,1184674194,I,11229,NY,US,Diagnostic Radiology,Y,44,390.0,127,92962.85,60577.9,46651.83,41015.08,74,1.443,367.34,731.99,3.07,238.37,119.62,0.5018330440600735,Northeast,Middle Atlantic,83615.0,0.05103151348442265,0.5940560904143993,0.00040662560545356687,0.10810261316749388,0.0012557555462536624,0.22059439095856007,0.02364408299946182,majority_white,high,low
54213,1007630,1821051590,I,85033,AZ,US,Physician Assistant,Y,15,1179.0,147,443411.0,249073.7,201706.24,207016.19,64,1.4936,1372.15,3016.4,8.02,376.09,171.08,0.4548967887580597,West,Mountain,65759.0,0.042153925698383485,0.11467631807053028,0.009489195395307107,0.8208458157818702,0.0009428367219696164,0.005261637190346569,0.005869918946456,majority_hispanic,high,low
56070,283700,1134438427,O,94080,CA,US,Clinical Laboratory,Y,12,34741.0,14283,53344152.4,27102893.56,25969902.08,25979261.02,71,1.1144,1818.24,3734.8,2.43,1535.48,747.53,0.4868369054824461,West,Pacific,67597.0,0.016613163306063883,0.20222790952261194,0.0006213293489356036,0.3365238102282645,0.0016716718197553144,0.3941595041200053,0.03807861295619628,no_majority,high,low
57921,325632,1609152875,I,92324,CA,US,Neurosurgery,Y,17,64.0,33,43645.0,33631.4,26366.98,27818.27,76,1.7097,799.0,1322.58,1.94,681.95,411.98,0.6041237255126589,West,Pacific,59409.0,0.06517531013819455,0.18330555976367216,0.0038209698867175007,0.6865626420239358,0.0004039791950714538,0.04686158662828864,0.011850056388762643,majority_hispanic,high,low
59079,466204,1417145392,I,42642,KY,US,Diagnostic Radiology,Y,50,5224.0,1733,887059.12,480853.86,408094.59,460796.69,69,0.912,235.48,511.86,3.01,169.8,78.12,0.4600534291333367,South,East South Central,12423.0,0.0,0.9313370361426386,0.0010464461080254368,0.05143685100217338,0.0,0.004427271995492232,0.011752394751670291,majority_white,high,low
60000,1114317,1639339286,I,99508,AK,US,Physician Assistant,Y,3,107.0,76,17408.67,10564.46,8117.4,6455.09,51,1.3289,106.81,229.06,1.41,162.7,75.86,0.4662849028673644,West,Pacific,35605.0,0.06962505266114309,0.410167111360764,0.1304592051678135,0.09377896362870383,0.0051116416233675036,0.12200533632916725,0.09369470579974724,no_majority,high,low
60722,174739,1174559835,I,80031,CO,US,Nurse Practitioner,Y,6,228.0,43,689235.0,631881.07,493257.6,483961.6,73,1.1602,11471.11,16028.72,5.3,3022.96,2163.41,0.7156595355720472,West,Mountain,35509.0,0.015207412205356388,0.6642822946295306,0.0014925793460812751,0.2300261905432425,0.0012954462249007293,0.06696893745247684,0.019685150243600208,majority_white,high,low
60885,290437,1215047469,I,91942,CA,US,Oral Surgery (Dentist only),Y,12,32.0,17,24948.59,23309.27,18060.91,18670.54,73,2.2062,1062.41,1467.56,1.88,779.64,564.4,0.7239250795335528,West,Pacific,40205.0,0.04840194005720681,0.5867429424200971,0.0005720681507275214,0.2476806367367243,0.0002984703395100112,0.06897152095510509,0.045466981718691714,majority_white,high,low
62054,501579,1104098664,I,64804,MO,US,Pathology,Y,27,1461.0,616,461283.0,274262.49,212647.44,234762.21,72,1.6344,345.21,748.84,2.37,315.73,145.55,0.4609912786727454,Midwest,West North Central,35602.0,0.027133307117577662,0.8767204089657884,0.016909162406606372,0.03193640806696253,0.0009269142183023426,0.018903432391438685,0.026403011066794,majority_white,high,low
62370,912864,1699287300,O,39157,MS,US,Clinical Laboratory,Y,29,37161.0,4639,29658441.3,21107929.87,20685739.96,20685739.96,69,1.5761,4459.09,6393.28,8.01,798.11,556.65,0.6974655124576624,South,East South Central,24522.0,0.3704020879210505,0.5293613897724492,0.0027730201451757605,0.04644808743169399,0.004037191093711769,0.03551912568306012,0.011173639996737624,majority_white,high,low
63640,278171,1073708582,I,92243,CA,US,Oral Surgery (Dentist only),Y,6,1469.0,352,3472300.0,2095342.63,1612095.24,1434452.24,71,1.5278,4579.82,9864.49,4.17,2363.72,1097.41,0.4642730294041413,West,Pacific,50484.0,0.014004437049362174,0.10666745899690992,0.0013865779256794233,0.8450202044212027,0.00037635686554155764,0.02145234133586879,0.008735440931780365,majority_hispanic,high,low
65223,1025437,1891214631,I,35233,AL,US,Nurse Practitioner,Y,14,264.0,122,36610.0,20709.93,16126.86,17110.02,70,1.8366,132.19,300.08,2.16,138.67,61.09,0.4405042338158973,South,East South Central,1715.0,0.23965014577259475,0.5551020408163265,0.010495626822157435,0.028571428571428567,0.0,0.1282798833819242,0.037900874635568516,majority_white,high,low
65419,444989,1447637434,I,55082,MN,US,Physician Assistant,Y,24,626.0,114,105752.94,79118.73,57531.99,58981.42,60,2.2597,504.67,927.66,5.49,168.93,91.9,0.5440226058963467,Midwest,West North Central,35867.0,0.0210778710235035,0.9286530794323472,0.002760197395934982,0.01873588535422533,0.0011431120528619626,0.011988736164162043,0.0156411185769649,majority_white,high,low
68044,1051521,1073518056,I,19713,DE,US,Orthopedic Surgery,Y,65,953.0,199,589104.6,463859.67,361190.77,362223.11,73,1.1896,1815.03,2960.32,4.79,618.16,379.0,0.6131182306164304,South,South Atlantic,30212.0,0.17790943995763273,0.6169402886270356,0.004071229974844433,0.10952601615252218,0.0010922812127631405,0.06086985303852774,0.02959089103667417,majority_white,high,low
69826,181597,1538559919,O,80301,CO,US,Clinical Laboratory,Y,5,13167.0,3492,19272750.0,11665208.6,11418996.91,11426766.52,74,1.9013,3270.04,5519.12,3.77,1463.72,867.24,0.5924944239924246,West,Mountain,25690.0,0.0030751265083690162,0.8217983651226158,0.0017516543402101984,0.10879719735305568,0.001557026080186843,0.038497469832619695,0.023433242506811988,majority_white,high,low
70588,755809,1689975021,O,1581,MA,US,Clinical Laboratory,Y,16,146.0,108,88542.25,57877.71,56720.3,56784.61,43,1.0592,525.19,819.84,1.35,606.45,388.5,0.6406015207429222,Northeast,New England,18982.0,0.026920240227584026,0.6616268043409546,0.005268148772521336,0.052734169212938574,0.002634074386260668,0.2385417764197661,0.012274786639974713,majority_white,high,low
72492,1018043,1417920786,I,36207,AL,US,General Surgery,Y,88,573.0,214,562607.5,335495.82,259591.44,297162.48,69,4.1452,1213.04,2629.01,2.68,981.86,453.04,0.4614077131925899,South,East South Central,19746.0,0.2484553833687836,0.6909247442520005,0.002329585738883825,0.02810695837131571,0.0,0.014990377798035043,0.015192950470981462,majority_white,high,low
75116,1049397,1922077106,I,54022,WI,US,Ophthalmology,Y,65,4838.0,913,1510971.05,947478.8,709206.49,725039.79,75,1.0852,776.79,1654.95,5.3,312.31,146.59,0.4693713291197736,Midwest,East North Central,23061.0,0.007371753176358355,0.9385542691123542,0.0023416157148432428,0.017822297385195786,0.0009539915875287283,0.012185074367980574,0.020770998655739125,majority_white,high,low
78835,186669,1811103831,I,81003,CO,US,Neurosurgery,Y,66,763.0,221,695446.94,380674.71,296994.61,292482.28,71,1.2797,1343.87,3146.82,3.45,911.46,389.25,0.4270557434618952,West,Mountain,14942.0,0.04162762682371838,0.4505420961049391,0.00863338241199304,0.4654664703520278,0.0,0.006224066390041493,0.02750635791728015,no_majority,high,low
79867,620215,1114929395,I,7090,NJ,US,Vascular Surgery,Y,130,1395.0,481,1059460.93,902121.73,700699.9,616428.72,74,3.397,1456.76,2202.62,2.9,759.47,502.29,0.6613739876184014,Northeast,Middle Atlantic,30068.0,0.027371291738725555,0.8026473327125183,0.0,0.07652653984302248,0.006751363575894639,0.07140481575096448,0.01529865637887455,majority_white,high,low
79973,358817,1962661611,I,92802,CA,US,Oral Surgery (Dentist only),Y,31,624.0,187,1297372.84,884896.34,679524.03,666051.17,68,1.4991,3633.82,6937.82,3.34,2079.12,1088.98,0.5237692736037236,West,Pacific,42248.0,0.01865177049801174,0.18445843590229125,0.0010888089377011929,0.6071766710850218,0.0,0.16448115887142584,0.016758189736792273,majority_hispanic,high,low
80094,270302,1922107648,I,74135,OK,US,Ophthalmology,Y,14,696.0,388,432142.71,366897.91,285129.69,306988.78,72,1.1081,734.87,1113.77,1.79,620.89,409.67,0.6598044659830082,South,West South Central,20849.0,0.07487169648424385,0.7173485538874766,0.045709626360976544,0.07161014916782579,0.0016787375893328215,0.02110412969446976,0.06767710681567461,majority_white,high,low
80179,367005,1073566022,I,76028,TX,US,Optometry,Y,9,272.0,113,188744.0,135286.51,101556.21,109463.3,70,1.3465,898.73,1670.3,2.41,693.91,373.37,0.5380632496927055,South,West South Central,69413.0,0.0398196303286128,0.7930935127425698,0.002766052468557763,0.12775704839151167,0.00028813046547476696,0.012173512166308905,0.022963998098338927,majority_white,high,low
82968,175029,1184897019,I,80045,CO,US,Neurosurgery,Y,28,128.0,96,57751.07,38462.9,29796.33,32387.34,73,1.5931,310.38,601.57,1.33,451.18,232.78,0.5159442067480309,West,Mountain,889.0,0.015748031496062992,0.6636670416197975,0.008998875140607425,0.08211473565804274,0.0,0.14173228346456693,0.08773903262092239,majority_white,high,low
85362,539454,1225281439,I,11201,NY,US,Anesthesiology,Y,48,216.0,129,113822.01,68128.99,53369.27,48041.62,75,2.8154,413.72,882.34,1.67,526.95,247.08,0.46888356654394,Northeast,Middle Atlantic,62823.0,0.1257501233624628,0.5888130143418812,0.0005093675883036467,0.11567419575633127,0.0026900975757286343,0.11791859669229422,0.0477213759291979,majority_white,high,low
91449,545441,1306802566,I,14203,NY,US,Cardiac Surgery,Y,38,429.0,238,355344.66,201098.92,156244.72,167542.76,77,1.9526,656.49,1493.04,1.8,828.31,364.21,0.43969907976104106,Northeast,Middle Atlantic,1666.0,0.5150060024009604,0.30612244897959184,0.001800720288115246,0.1446578631452581,0.0,0.028811524609843937,0.003601440576230492,majority_black,high,low
92563,283722,1134470636,I,95953,CA,US,Optometry,Y,11,1792.0,303,1517444.0,941058.62,723139.99,682798.75,66,1.3539,2386.6,5008.07,5.91,846.79,403.54,0.4765513521421548,West,Pacific,10942.0,0.016541765673551454,0.3891427526960337,0.005209285322610125,0.4674648144763298,0.0,0.0965088649241455,0.024766953025041127,no_majority,high,low
95336,411795,1699819979,O,75701,TX,US,Ambulatory Surgical Center,Y,13,32.0,29,66284.0,40416.23,31686.33,35895.29,68,1.5462,1092.63,2285.66,1.1,2071.38,990.2,0.4780388932472392,South,West South Central,35549.0,0.20855720273425413,0.5789754986075558,0.002137894174238375,0.18414020084953164,0.000872035781597232,0.013277448029480436,0.011730287771807927,majority_white,high,low
95445,753414,1629015375,I,2132,MA,US,Neurosurgery,Y,113,4288.0,737,2456181.41,1406857.55,1084520.97,1159939.19,72,1.4082,1471.53,3332.67,5.82,572.8,252.92,0.4415475850377029,Northeast,New England,28487.0,0.06711833467897638,0.7679643346087689,0.0,0.07473584442026188,0.0014041492610664516,0.06904903991294274,0.01972829711798364,majority_white,high,low
96925,827669,1013382431,O,30043,GA,US,Clinical Laboratory,Y,71,32018.0,3307,24986614.6,11630691.99,11398057.46,11398365.12,67,1.6025,3446.65,7555.67,9.68,780.39,355.99,0.4561665372627151,South,South Atlantic,90675.0,0.2385663082437276,0.4256851392335264,0.0019189412737799839,0.17959746346843122,0.004356217259443066,0.1280507306313758,0.021582575130962227,no_majority,high,low
97477,659521,1235170721,I,48532,MI,US,Diagnostic Radiology,Y,84,42748.0,2704,2282696.5,1294131.34,988194.56,987136.03,73,1.3499,365.46,844.19,15.81,53.4,23.12,0.4329066785707168,Midwest,East North Central,20126.0,0.31874192586703765,0.5396005167445096,0.008645533141210375,0.05281725131670476,0.0,0.016197952896750467,0.06399682003378714,majority_white,high,low
98337,978135,1851512800,I,46032,IN,US,Neurology,Y,27,1964.0,377,696689.5,493159.53,382906.61,396311.27,68,1.3004,1015.67,1847.98,5.21,354.73,194.96,0.5496086994277939,Midwest,East North Central,48853.0,0.02742922645487483,0.8153235215851636,0.003909688248418725,0.04024317851513725,0.0039301578203999755,0.0890631076904182,0.01969172824596237,majority_white,high,low
99515,552543,1396741260,I,10021,NY,US,Vascular Surgery,Y,6,68.0,38,83075.71,62267.77,48329.69,41485.86,72,1.0270000000000001,1271.83,2186.2,1.79,1221.7,710.73,0.5817547632153851,Northeast,Middle Atlantic,46215.0,0.005842259006815969,0.7928810992102131,0.0033755274261603376,0.07928161852212487,0.0010602618197554903,0.09375743806123553,0.022936276100833063,majority_white,high,low
100184,968824,1457310492,O,46060,IN,US,Pharmacy,Y,11,3009.0,551,8350195.5,5193113.76,4071466.52,4075849.7,64,3.7598,7389.23,15154.62,5.46,2775.07,1353.1,0.4875893648238535,Midwest,East North Central,40387.0,0.039814791888478966,0.8442815757545745,0.000767573724218189,0.05392824423700696,0.0004704484116175997,0.026394631936019014,0.03379800430831703,majority_white,high,low
101332,716394,1407824436,O,37203,TN,US,Ambulatory Surgical Center,Y,24,84.0,58,132524.86,76155.34,59266.31,64439.26,69,0.8925,1021.83,2284.91,1.45,1577.68,705.55,0.4472089991266545,South,East South Central,14232.0,0.2947582911748173,0.5862844294547499,0.0002810567734682406,0.047217537942664416,0.0,0.05874086565486227,0.012717818999437887,majority_white,high,low
106235,556392,1447354592,I,10029,NY,US,General Surgery,Y,14,75.0,39,42021.82,39898.01,30598.54,31929.0,70,1.7532,784.58,1077.48,1.92,560.29,407.98,0.7281583710557992,Northeast,Middle Atlantic,79597.0,0.25827606568086736,0.15465406987700542,0.0005402213651268264,0.4789376484038343,0.0027639232634395767,0.09290551151425304,0.011708984006934934,no_majority,high,low
